Term,Campus,Section,Short Title,Faculty Request,Weeks,Day(s),Meth,,
2020/WI,OR,CIS-1722-O1531,Web Animation,,15,T,LEC,Evening,
2020/WI,OR,CIS-2151-O1531,Object-Oriented Program (Java),,15,MW,LEC,Morning,
2020/WI,OR,CIS-2232-O1531,Fundamentals of System Support,,15,W,LEC,Evening,
2020/WI,OR,CIS-2252-O1511,Object-Oriented Program (C++),,15,M,LEC,Evening,
2020/WI,OR,CIS-2252-O1531,Object-Oriented Program (C++),,15,T,LEC,Evening,
2020/WI,OR,CIS-2353-O1531,Data Structures,,15,Th,LEC,Evening,
2020/WI,OR,CIS-2353 ,,,15,W,LEC,Afternoon,
2020/WI,OR,CIS-2454-O1532,"Web System Dev (PHP, Java)",,15,Th,LEC,Afternoon,
2020/WI,OR,CIS-2515-O1531,Database Dsgn/Mgt Oracle SQL,,15,T,LEC,Evening,
2020/WI,OR,CIS-2555-O1531,"Web Sys Dev (ASP.NET, C#)",,15,M,LEC,Evening,
2020/WI,OR,CIS-2656-O1531,Visual Basic.NET Programming,,15,Th,LEC,Evening,
2020/WI,OR,CIS-2757-O1531,C# Programming,,15,W,LEC,Evening,
2020/WI,OR,CIS-2818-O1531,Mobile App Dev (Android),,15,W,LEC,Evening,
2020/WI,OR,CIS-2819-O1531,Mobile Application Dev (iOS),,15,M,LEC,Evening,
2020/WI,OR,CIS-2858-O1531,Web Sys Integration & Svc Dev,,15,T,LEC,Evening,
2020/WI,OR,CIS-2859-O1531,Game Software Development,,15,T,LEC,Evening,
2020/WI,OR,CIS-2862-O1531,Game Design,,15,Th,LEC,Evening,
2020/WI,OR,CIS-2991-O1531,Special Project in Software,,15,M,LEC,Afternoon,
2020/WI,RO,CIS-1000-R7141,Computer Literacy,,7,T,LEC,Morning,
2020/WI,RO,CIS-1000-R7241,Computer Literacy,,7,T,LEC,Morning,
2020/WI,RO,CIS-1050-R1545,Personal Comp Prod Tools,,15,T,LEC,Morning,
2020/WI,RO,CIS-1050-R1546,Personal Comp Prod Tools,,15,W,LEC,Morning,
2020/WI,RO,CIS-1050-R1547,Personal Comp Prod Tools,,15,Th,LEC,Evening,
2020/WI,RO,CIS-1050-R1548,Personal Comp Prod Tools,,15,M,LEC,Afternoon,
2020/WI,RO,CIS-1050-R1575,Personal Comp Prod Tools,,15,Th,LEC,Evening,
2020/WI,SF,CIS-1050-S1551,Personal Comp Prod Tools,,15,Sa,LEC,Morning,
2020/WI,SF,CIS-1050-S1552,Personal Comp Prod Tools,,15,Th,LEC,Morning,
