Term,LOC,Section,Short Title,Faculty Request,Weeks,Day(s),Meth,,
2019/FA,OR,CIS-1300-O1532,Networking Concepts,,15,M,LEC,Evening,
2019/FA,OR,CIS-1400-O1531,Web Design I,,15,W,LEC,Afternoon,
2019/FA,OR,CIS-1400-O1533,Web Design I,,15,M,LEC,Evening,
2019/FA,OR,CIS-1420-O1531,HTML5 Programming,,15,TTh,LEC,Afternoon,
2019/FA,OR,CIS-1440-O1531,JavaScript Program for Web,,15,W,LEC,Morning/Afternoon,
2019/FA,OR,CIS-1500-O1531,Intro to Programming (Java),,15,TTh,LEC,Morning,
2019/FA,OR,CIS-1500-O1533,Intro to Programming (Java),,15,T,LEC,Evening,
2019/FA,OR,CIS-1500-O1535,Intro to Programming (Java),,15,Th,HYB,Afternoon,
2019/FA,OR,CIS-1500,,,15,MW,LEC,Morning,
2019/FA,OR,CIS-1500,,,15,W,LEC,Evening,
2019/FA,OR,CIS-1512-O1531,Software Engineering,,15,M,LEC,Afternoon,
2019/FA,OR,CIS-1722-O1531,Web Animation,,15,W,LEC,Evening,
2019/FA,OR,CIS-2151-O1531,Object-Oriented Program (Java),,15,MW,LEC,Afternoon,
2019/FA,OR,CIS-2232-O1511,Fundamentals of System Support,,15,M,LEC,Morning,
2019/FA,OR,CIS-2252-O1531,Object-Oriented Program (C++),,15,W,LEC,Evening,
2019/FA,OR,CIS-2252-O1532,Object-Oriented Program (C++),,15,M,LEC,Evening,
2019/FA,OR,CIS-2353-O1531,Data Structures,,15,T,LEC,Evening,
2019/FA,OR,CIS-2454-O1531,"Web System Dev (PHP, Java)",,15,Th,LEC,Afternoon,
2019/FA,OR,CIS-2818-O1531,Mobile App Dev (Android),,15,W,LEC,Evening,
2019/FA,OR,CIS-2858-O1531,Web Sys Integration & Svc Dev,,15,Th,LEC,Evening,
2019/FA,OR,CIS-2862-O1531,Game Design,,15,Th,LEC,Evening,
2019/FA,RO,CIS-1000-R7141,Computer Literacy,,7,T,LEC,Morning,
2019/FA,RO,CIS-1000-R7241,Computer Literacy,,7,T,LEC,Morning,
2019/FA,RO,CIS-1050-R1203,Personal Comp Prod Tools,,12,Th,LEC,Morning/Afternoon,
2019/FA,RO,CIS-1050-R1501,Personal Comp Prod Tools,,15,Th,LEC,Evening,
2019/FA,RO,CIS-1050-R1545,Personal Comp Prod Tools,,15,T,LEC,Morning,
2019/FA,RO,CIS-1050-R1546,Personal Comp Prod Tools,,15,W,LEC,Morning,
2019/FA,RO,CIS-1050-R1547,Personal Comp Prod Tools,,15,T,LEC,Evening,
2019/FA,RO,CIS-1050-R1548,Personal Comp Prod Tools,,15,M,LEC,Afternoon,
2019/FA,RO,CIS-1080,,,15,M,LEC,Evening,
2019/FA,SF,CIS-1050-S1551,Personal Comp Prod Tools,,15,Sa,LEC,Morning,
2019/FA,SF,CIS-1050-S1552,Personal Comp Prod Tools,,15,Th,LEC,Morning,
