CIS Annual Schedule 2017-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fall,,,,,,,,,,,,,,,,,,,,,,Winter,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,,,,,,,,,,,,,,,,,,,
,AH,AH,AH,AH,HL,HL,HL,HL,OR,OR,OR,OR,RO,RO,RO,RO,SF,SF,SF,SF,Total,OL,,AH,AH,AH,AH,HL,HL,HL,HL,OR,OR,OR,OR,RO,RO,RO,RO,SF,SF,SF,SF,Total,OL,,AH,AH,AH,AH,HL,HL,HL,HL,OR,OR,OR,OR,RO,RO,RO,RO,SF,SF,SF,SF,Total,OL,Annual Total
Course,Sat,Morn,Aft,Eve,Sat,Morn,Aft,Eve,Sat,Morn,Aft,Eve,Sat,Morn,Aft,Eve,Sat,Morn,Aft,Eve,,,,Sat,Morn,Aft,Eve,Sat,Morn,Aft,Eve,Sat,Morn,Aft,Eve,Sat,Morn,Aft,Eve,Sat,Morn,Aft,Eve,,,,Sat,Morn,Aft,Eve,Sat,Morn,Aft,Eve,Sat,Morn,Aft,Eve,Sat,Morn,Aft,Eve,Sat,Morn,Aft,Eve,,,
1722,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,1
2111,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,2,,,,1,,,,,,,,,1,,,,,,,,,,2,,5
2151,,,,1,,,,,,,1,,,,,,,,,,2,,,,,,1,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,1,,5
2212,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1,,,,,,,,,1,,1
2232,1,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,2
2252,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,2,,6
2333,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,3
2353,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,1,,5
2434,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,3
2454,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,3
2515,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,0,,2
2535,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,,,,,,,,1,,1
2555,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,2
2616,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,1,,1
2636,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,1,,,,,,,,,,,,,,,,,2,,2
2656,,1,,1,,,,,,,,1,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,5
2737,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,1
2757,,,,1,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,3
2818,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,2
2819,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,2
2838,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,2
2839,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,1
2845,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,1,,2
2858,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,3
2859,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,3
2862,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,2
2980,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,3
2901,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0
2991,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,2
Tot.,1,9,10,13,0,1,2,2,0,4,10,19,1,4,2,3,1,1,0,0,82,6,,1,7,8,15,0,1,2,2,0,4,9,24,1,4,2,4,1,1,0,0,86,6,,0,6,8,10,0,2,0,3,0,5,3,13,0,1,3,2,1,1,0,0,58,5,226
